,Partenaire,Contact partenaire,idPartners
4772,ACCO EXPERTS,dkazmierczak@strageco.fr,ACCOEXPERTS
21056,ADH,m.danel@adh-avocats.com,ADH
426,ADOC Expertise Comptable,quentin.marcotte@adoc-experts.fr,ADOCExpertiseComptable
16515,AECC Cambrai,bflament@a2ec.fr,AECCCambrai
2,AESIO du NORD (sauf Lille),Myriam.berkoune@aesio.fr,AESIOduNORD(saufLille)
149,AESIO du PDC (et Lille),elodie.dumont@aesio.fr,AESIOduPDC(etLille)
9953,AGENCE AXA CARSEL-SULLI,anne.sulli.agt@axa.fr,AGENCEAXACARSELSULLI
3271,AGIPI - AXA Prévoyance et Patrimoine T. M'Jimar,tmjimar@gmail.com,AGIPIAXAPrévoyanceetPatrimoineT.M'Jimar
72,ALLIANZ VALENCIENNES - Pierre Uljasz,H959901@AGENTS.ALLIANZ.FR,ALLIANZVALENCIENNESPierreUljasz
13625,ANTICIPATION,florence.boulange@anticipation-avocats.fr,ANTICIPATION
9,AR2 Assurances - Generali,rpeset@agence.generali.fr,AR2AssurancesGenerali
4,AREAS CAMBRAI RYEZ TONTON Nathalie,n.ryeztonton@areas-agence.fr,AREASCAMBRAIRYEZTONTONNathalie
2331,AREAS Frédéric Persyn,f.persyn@areas-agence.fr,AREASFrédéricPersyn
223,ARGECO,developpement@argeco.net,ARGECO
3112,AUDACE COURTAGE,paul.motte@audace-courtage.fr,AUDACECOURTAGE
15,AXA - Nicola et Angelo SABATINO,Agence.sabatino@axa.fr,AXANicolaetAngeloSABATINO
0,AXA BETHUNE Masqueliez,mariechristine.masqueliez.agt@axa.fr,AXABETHUNEMasqueliez
12737,AXA DOUAI,agence.cautillo@axa.fr,AXADOUAI
69,AXA Epargne et Protection Flandre Intérieure,alyson.estevezalvarez@axa.fr,AXAEpargneetProtectionFlandreIntérieure
379,AXA Epargne et Protection Saint-Omer,soizic.guennbaux@axa.fr,AXAEpargneetProtectionSaintOmer
172,AXA HARNES,agence.bernardino@axa.fr,AXAHARNES
608,AXA Leclercq et Draux,Geoffrey.leclercq.agt@axa.fr,AXALeclercqetDraux
44,AXA Patrimoine et Prévoyance Gaelle Bénard,agencea2p.gaelle.benard@axa.fr,AXAPatrimoineetPrévoyanceGaelleBénard
12369,AXA Prévoyance et Patrimoine (Roubaix),simon.grenet.a2p@axa.fr,AXAPrévoyanceetPatrimoine(Roubaix)
103,AXA Prévoyance et Patrimoine Marion Boisseau,agencea2p.marion.boisseau@axa.fr,AXAPrévoyanceetPatrimoineMarionBoisseau
1326,AXLERATION,contact@axleration.fr,AXLERATION
3263,Abeille Assurance Lille Nationale  - Agence Venner / PIerre,agencelillenationale@abeille-assurances.com,AbeilleAssuranceLilleNationaleAgenceVenner/PIerre
10,Abeille Assurances Santes,agence-santes@abeille-assurances.com,AbeilleAssurancesSantes
17782,Agence Lucie Flouret Graphiste,lucie.flouret@gmail.com,AgenceLucieFlouretGraphiste
14425,Allianz - Cabinet Nicolaï et Mortier,paul.nicolai@allianz.fr,AllianzCabinetNicolaïetMortier
2934,Allianz - Cabinet Ollier et Hollander,Antoine.ollier@allianz.fr,AllianzCabinetOllieretHollander
380,Allianz Audomarois,Olivier.doret@allianz.fr,AllianzAudomarois
609,Allianz Avesnois,badard.mathieu@allianz.fr,AllianzAvesnois
1,Allianz Béthune,H962141@agents.allianz.fr,AllianzBéthune
102,Allianz ZACZEK,michael.zaczek@allianz.fr,AllianzZACZEK
538,Anetmo - Agence Web et Développement Informatique,florent@anetmo.com,AnetmoAgenceWebetDéveloppementInformatique
12568,Ascension Digitale,contact@ascension-digitale.com,AscensionDigitale
27,Axa Prévoyance et Patrimoine,agencea2p.sophie.geny@axa.fr,AxaPrévoyanceetPatrimoine
121,BANQUE CAISSE d'EPARGNE HAUTS DE FRANCE (Béthune),gregory.cocheteux@hdf.caisse-epargne.fr,BANQUECAISSEd'EPARGNEHAUTSDEFRANCE(Béthune)
